source_id,source_sha256_12,operator,dimension,targets,assessed_ok,supported_ge_2_3,weak_below_floor,unassessed,failed_or_invalid,stale,excluded_by_discovery,excluded_ids,supported_and_discovery_eligible,supported_eligible_conf_ge_0.5,weak_and_discovery_eligible,best_eligible_target,best_norm,best_confidence,published_bonds
P1,c8adbba7f4ed,ECHO,echo,40,40,6,34,0,0,0,1,P2,5,1,34,P5,0.990,0.970,0
P1,c8adbba7f4ed,DEVELOP,development,40,40,6,34,0,0,0,1,P2,5,3,34,P5,0.917,0.750,0
P1,c8adbba7f4ed,CONTRADICT,contradiction,40,40,3,37,0,0,0,1,P2,3,0,36,F11,0.783,0.350,1
P1,c8adbba7f4ed,BRIDGE,bridge_relation,40,40,15,25,0,0,0,1,P2,15,2,24,LF6,0.780,0.340,0
P2,920055a32772,ECHO,echo,40,40,9,31,0,0,0,2,P1|P3,7,6,31,P5,0.937,0.810,0
P2,920055a32772,DEVELOP,development,40,40,7,33,0,0,0,2,P1|P3,5,1,33,LF15,0.850,0.550,0
P2,920055a32772,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,P1|P3,0,0,38,,,,0
P2,920055a32772,BRIDGE,bridge_relation,40,40,14,26,0,0,0,2,P1|P3,14,2,24,LF7,0.837,0.510,0
P3,caebdc6f6a36,ECHO,echo,40,40,5,35,0,0,0,2,P2|P4,3,2,35,P5,0.937,0.810,0
P3,caebdc6f6a36,DEVELOP,development,40,40,11,29,0,0,0,2,P2|P4,10,1,28,LF6,0.840,0.520,0
P3,caebdc6f6a36,CONTRADICT,contradiction,40,40,1,39,0,0,0,2,P2|P4,0,0,38,,,,0
P3,caebdc6f6a36,BRIDGE,bridge_relation,40,40,24,16,0,0,0,2,P2|P4,24,5,14,LF11,0.860,0.580,0
P4,4b4695d3df25,ECHO,echo,40,40,3,37,0,0,0,2,P3|P5,3,0,35,P8,0.800,0.480,0
P4,4b4695d3df25,DEVELOP,development,40,40,1,39,0,0,0,2,P3|P5,1,0,37,P1,0.683,0.050,0
P4,4b4695d3df25,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,P3|P5,0,0,38,,,,0
P4,4b4695d3df25,BRIDGE,bridge_relation,40,40,7,33,0,0,0,2,P3|P5,7,1,31,P7,0.790,0.370,0
P5,23fc2364ab4a,ECHO,echo,40,40,19,21,0,0,0,2,P4|P6,18,11,20,P1,0.927,0.780,0
P5,23fc2364ab4a,DEVELOP,development,40,40,20,20,0,0,0,2,P4|P6,19,5,19,P1,0.893,0.680,0
P5,23fc2364ab4a,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,P4|P6,0,0,38,,,,0
P5,23fc2364ab4a,BRIDGE,bridge_relation,40,40,14,26,0,0,0,2,P4|P6,14,0,24,LF8,0.810,0.430,0
P6,441fc9e6c294,ECHO,echo,40,40,22,18,0,0,0,2,P5|P7,20,10,18,PR4,0.897,0.690,0
P6,441fc9e6c294,DEVELOP,development,40,40,23,17,0,0,0,2,P5|P7,21,9,17,PR3,0.903,0.710,0
P6,441fc9e6c294,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,P5|P7,0,0,38,,,,0
P6,441fc9e6c294,BRIDGE,bridge_relation,40,40,23,17,0,0,0,2,P5|P7,23,0,15,LF11,0.813,0.440,0
P7,783140233be6,ECHO,echo,40,40,3,37,0,0,0,2,P6|P8,2,1,36,LF7,0.763,0.560,0
P7,783140233be6,DEVELOP,development,40,40,2,38,0,0,0,2,P6|P8,1,0,37,LF15,0.683,0.340,0
P7,783140233be6,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,P6|P8,0,0,38,,,,0
P7,783140233be6,BRIDGE,bridge_relation,40,40,22,18,0,0,0,2,P6|P8,22,0,16,P4,0.813,0.440,0
P8,af6c1a9a22f3,ECHO,echo,40,40,11,29,0,0,0,1,P7,10,7,29,F12,0.990,0.970,0
P8,af6c1a9a22f3,DEVELOP,development,40,40,20,20,0,0,0,1,P7,19,7,20,P1,0.917,0.750,0
P8,af6c1a9a22f3,CONTRADICT,contradiction,40,40,0,40,0,0,0,1,P7,0,0,39,,,,0
P8,af6c1a9a22f3,BRIDGE,bridge_relation,40,40,18,22,0,0,0,1,P7,18,1,21,LF11,0.857,0.570,0
F1,5f8c0218fd16,ECHO,echo,40,40,16,24,0,0,0,1,F2,15,10,24,F9,0.973,0.920,0
F1,5f8c0218fd16,DEVELOP,development,40,40,21,19,0,0,0,1,F2,20,12,19,P1,0.837,0.510,0
