source,operator,destination,confidence,model_version,run_dir
F1,ECHO,F9,0.36,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225818Z_relop-full-F1-echo_live
F1,DEVELOP,F4,0.34,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225819Z_relop-full-F1-develop_live
F1,CONTRADICT,P1,0.51,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225819Z_relop-full-F1-contradict_live
F1,BRIDGE,P3,0.3,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225820Z_relop-full-F1-bridge_live
F2,ECHO,F4,0.3,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225820Z_relop-full-F2-echo_live
F2,DEVELOP,F4,0.74,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225821Z_relop-full-F2-develop_live
F2,CONTRADICT,P1,0.23,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225822Z_relop-full-F2-contradict_live
F2,BRIDGE,P1,0.15,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225822Z_relop-full-F2-bridge_live
F3,ECHO,F4,0.28,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225823Z_relop-full-F3-echo_live
F3,DEVELOP,F4,0.79,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225823Z_relop-full-F3-develop_live
F3,CONTRADICT,P1,0.16,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225824Z_relop-full-F3-contradict_live
F3,BRIDGE,P3,0.21,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225825Z_relop-full-F3-bridge_live
F4,ECHO,F3,0.39,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225825Z_relop-full-F4-echo_live
F4,DEVELOP,F3,0.35,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225826Z_relop-full-F4-develop_live
F4,CONTRADICT,P1,0.22,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225826Z_relop-full-F4-contradict_live
F4,BRIDGE,P3,0.18,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225827Z_relop-full-F4-bridge_live
F5,ECHO,F7,0.37,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225827Z_relop-full-F5-echo_live
F5,DEVELOP,F7,0.49,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225828Z_relop-full-F5-develop_live
F5,CONTRADICT,P1,0.46,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225828Z_relop-full-F5-contradict_live
F5,BRIDGE,P1,0.18,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225829Z_relop-full-F5-bridge_live
