source,destination,reverse_operator,confidence,forward_operators,forward_confidences,in_forward_set,is_collision,returned_model,run_dir
F1,F4,DEVELOP,0.91,DEVELOP,0.34,True,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231557Z_relop-reverse-F1-F4_live
F1,F9,DEVELOP,0.95,ECHO,0.36,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231558Z_relop-reverse-F1-F9_live
F1,P1,CONTRADICT,0.36,CONTRADICT,0.51,True,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231558Z_relop-reverse-F1-P1_live
F1,P3,DEVELOP,0.88,BRIDGE,0.3,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231558Z_relop-reverse-F1-P3_live
F2,F4,DEVELOP,0.97,ECHO|DEVELOP,0.3|0.74,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231559Z_relop-reverse-F2-F4_live
F2,P1,DEVELOP,0.36,CONTRADICT|BRIDGE,0.23|0.15,False,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231600Z_relop-reverse-F2-P1_live
F3,F4,DEVELOP,0.96,ECHO|DEVELOP,0.28|0.79,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231600Z_relop-reverse-F3-F4_live
F3,P1,DEVELOP,0.5,CONTRADICT,0.16,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231601Z_relop-reverse-F3-P1_live
F3,P3,DEVELOP,0.8,BRIDGE,0.21,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231601Z_relop-reverse-F3-P3_live
F4,F3,DEVELOP,0.62,ECHO|DEVELOP,0.39|0.35,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231602Z_relop-reverse-F4-F3_live
F4,P1,DEVELOP,0.49,CONTRADICT,0.22,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231602Z_relop-reverse-F4-P1_live
F4,P3,DEVELOP,0.53,BRIDGE,0.18,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231603Z_relop-reverse-F4-P3_live
F5,F7,DEVELOP,0.97,ECHO|DEVELOP,0.37|0.49,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231603Z_relop-reverse-F5-F7_live
F5,P1,DEVELOP,0.29,CONTRADICT|BRIDGE,0.46|0.18,False,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231604Z_relop-reverse-F5-P1_live
F6,F4,DEVELOP,0.91,DEVELOP,0.29,True,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231604Z_relop-reverse-F6-F4_live
F6,P1,DEVELOP,0.42,CONTRADICT,0.25,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231605Z_relop-reverse-F6-P1_live
F6,P3,DEVELOP,0.76,BRIDGE,0.23,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231605Z_relop-reverse-F6-P3_live
F6,P5,DEVELOP,0.92,ECHO,0.43,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231606Z_relop-reverse-F6-P5_live
F7,F5,DEVELOP,0.63,ECHO,0.59,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231606Z_relop-reverse-F7-F5_live
F7,F8,DEVELOP,0.67,DEVELOP|CONTRADICT,0.43|0.83,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231607Z_relop-reverse-F7-F8_live
F7,P1,DEVELOP,0.2,BRIDGE,0.19,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231607Z_relop-reverse-F7-P1_live
F8,F1,DEVELOP,0.77,ECHO,0.28,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231607Z_relop-reverse-F8-F1_live
F8,F7,DEVELOP,0.89,DEVELOP|CONTRADICT,0.25|0.29,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231608Z_relop-reverse-F8-F7_live
F8,P1,DEVELOP,0.5,BRIDGE,0.2,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231608Z_relop-reverse-F8-P1_live
F9,F10,DEVELOP,0.94,ECHO|DEVELOP,0.53|0.4,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231609Z_relop-reverse-F9-F10_live
F9,P1,DEVELOP,0.4,CONTRADICT|BRIDGE,0.22|0.13,False,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231609Z_relop-reverse-F9-P1_live
F10,F4,DEVELOP,0.84,DEVELOP,0.39,True,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231610Z_relop-reverse-F10-F4_live
F10,F9,DEVELOP,0.58,ECHO,0.56,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231610Z_relop-reverse-F10-F9_live
F10,P1,CONTRADICT,0.29,CONTRADICT,0.29,True,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231611Z_relop-reverse-F10-P1_live
F10,P3,DEVELOP,0.62,BRIDGE,0.25,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231611Z_relop-reverse-F10-P3_live
F11,F10,DEVELOP,0.9,ECHO|DEVELOP|BRIDGE,0.69|0.27|0.17,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231612Z_relop-reverse-F11-F10_live
F11,P1,CONTRADICT,0.81,CONTRADICT,0.72,True,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231612Z_relop-reverse-F11-P1_live
F12,F4,DEVELOP,0.91,DEVELOP,0.16,True,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231613Z_relop-reverse-F12-F4_live
F12,P3,DEVELOP,0.72,BRIDGE,0.27,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231613Z_relop-reverse-F12-P3_live
F12,P6,DEVELOP,0.73,CONTRADICT,0.53,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231613Z_relop-reverse-F12-P6_live
F12,P8,ECHO,0.88,ECHO,0.96,True,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231614Z_relop-reverse-F12-P8_live
P1,F11,DEVELOP,0.38,CONTRADICT,0.38,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231614Z_relop-reverse-P1-F11_live
P1,P2,DEVELOP,0.78,ECHO|DEVELOP|BRIDGE,0.66|0.31|0.32,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231615Z_relop-reverse-P1-P2_live
P2,P3,DEVELOP,0.98,ECHO|DEVELOP|CONTRADICT|BRIDGE,0.93|0.99|0.7|0.57,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231615Z_relop-reverse-P2-P3_live
P3,F4,DEVELOP,0.61,BRIDGE,0.18,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231616Z_relop-reverse-P3-F4_live
P3,P2,DEVELOP,0.56,ECHO|DEVELOP|CONTRADICT,0.95|0.31|0.61,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231616Z_relop-reverse-P3-P2_live
P4,P3,DEVELOP,0.56,BRIDGE,0.46,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231617Z_relop-reverse-P4-P3_live
P4,P7,DEVELOP,0.3,CONTRADICT,0.51,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231617Z_relop-reverse-P4-P7_live
